benchname,class,runtime
vrf_verify_ct,0,1126432
vrf_verify_ct,0,1060097
vrf_verify_ct,0,1042680
vrf_verify_ct,0,1052264
vrf_verify_ct,0,1042847
vrf_verify_ct,0,1046222
vrf_verify_ct,0,1038638
vrf_verify_ct,0,1066597
vrf_verify_ct,0,1071264
vrf_verify_ct,0,1058680
vrf_verify_ct,0,1041930
vrf_verify_ct,0,1042471
vrf_verify_ct,0,1037930
vrf_verify_ct,0,1070847
vrf_verify_ct,0,1035680
vrf_verify_ct,0,1054971
vrf_verify_ct,0,1039097
vrf_verify_ct,0,1039222
vrf_verify_ct,0,1035846
vrf_verify_ct,0,1036138
vrf_verify_ct,0,1054555
vrf_verify_ct,0,1036722
vrf_verify_ct,0,1036888
vrf_verify_ct,0,1082930
vrf_verify_ct,0,1038555
vrf_verify_ct,0,1060806
vrf_verify_ct,0,1041388
vrf_verify_ct,0,1062972
vrf_verify_ct,0,1040680
vrf_verify_ct,0,1074805
vrf_verify_ct,0,1054138
vrf_verify_ct,0,1035638
vrf_verify_ct,0,1097514
vrf_verify_ct,0,1035680
vrf_verify_ct,0,1060056
vrf_verify_ct,0,1060722
vrf_verify_ct,0,1050139
vrf_verify_ct,0,1042555
vrf_verify_ct,0,1067264
vrf_verify_ct,0,1044388
vrf_verify_ct,0,1041305
vrf_verify_ct,0,1042930
vrf_verify_ct,0,1036430
vrf_verify_ct,0,1054722
vrf_verify_ct,0,1035263
vrf_verify_ct,0,1059014
vrf_verify_ct,0,1044180
vrf_verify_ct,0,1052597
vrf_verify_ct,0,1048472
vrf_verify_ct,0,1049013
vrf_verify_ct,0,1069056
vrf_verify_ct,0,1036555
vrf_verify_ct,0,1045597
vrf_verify_ct,0,1053930
vrf_verify_ct,0,1089889
vrf_verify_ct,0,1078639
vrf_verify_ct,0,1064555
vrf_verify_ct,0,1081472
vrf_verify_ct,0,1045972
vrf_verify_ct,0,1037888
vrf_verify_ct,0,1045471
vrf_verify_ct,0,1036514
vrf_verify_ct,0,1044097
vrf_verify_ct,0,1036805
vrf_verify_ct,0,1038347
vrf_verify_ct,0,1040097
vrf_verify_ct,0,1036097
vrf_verify_ct,0,1040596
vrf_verify_ct,0,1037014
vrf_verify_ct,0,1098472
vrf_verify_ct,0,1049264
vrf_verify_ct,0,1062806
vrf_verify_ct,0,1048597
vrf_verify_ct,0,1056472
vrf_verify_ct,0,1053514
vrf_verify_ct,0,1057388
vrf_verify_ct,0,1054013
vrf_verify_ct,0,1102847
vrf_verify_ct,0,1049138
vrf_verify_ct,0,1048805
vrf_verify_ct,0,1075056
vrf_verify_ct,0,1075597
vrf_verify_ct,0,1045722
vrf_verify_ct,0,1053472
vrf_verify_ct,0,1056847
vrf_verify_ct,0,1038138
vrf_verify_ct,0,1061639
vrf_verify_ct,0,1062763
vrf_verify_ct,0,1095598
vrf_verify_ct,0,1042722
vrf_verify_ct,0,1108931
vrf_verify_ct,0,1050639
vrf_verify_ct,0,1072430
vrf_verify_ct,0,1073597
vrf_verify_ct,0,1098597
vrf_verify_ct,0,1040888
vrf_verify_ct,0,1071764
vrf_verify_ct,0,1037597
vrf_verify_ct,0,1046430
vrf_verify_ct,0,1074389
vrf_verify_ct,0,1081847
vrf_verify_ct,0,1067180
vrf_verify_ct,0,1107889
vrf_verify_ct,0,1050764
vrf_verify_ct,0,1104014
vrf_verify_ct,0,1062055
vrf_verify_ct,0,1043514
vrf_verify_ct,0,1083222
vrf_verify_ct,0,1037138
vrf_verify_ct,0,1052972
vrf_verify_ct,0,1052305
vrf_verify_ct,0,1046555
vrf_verify_ct,0,1050930
vrf_verify_ct,0,1085223
vrf_verify_ct,0,1057722
vrf_verify_ct,0,1063014
vrf_verify_ct,0,1078639
vrf_verify_ct,0,1041055
vrf_verify_ct,0,1042680
vrf_verify_ct,0,1036597
vrf_verify_ct,0,1040430
